doc_id,stock_code,stock_name,market,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,download_status,source,crawl_time,error_message,notes
cb67e316a4f311616de11a9e0502f801,300274,阳光电源,sz,阳光电源：关于继续使用暂时闲置募集资金购买理财产品的公告,其他,2024-08-24,finalpage/2024-08-24/1220962518.PDF,http://static.cninfo.com.cn/finalpage/2024-08-24/1220962518.PDF,data/pdf\300274_cb67e316a4f311616de11a9e0502f801.pdf,success,cninfo,2026-06-05T10:41:41.789354,,
8f35daa321fc462d9b293395e8e3cc52,300274,阳光电源,sz,阳光电源：募集资金管理办法（2024年10月）,其他,2024-10-14,finalpage/2024-10-14/1221386178.PDF,http://static.cninfo.com.cn/finalpage/2024-10-14/1221386178.PDF,data/pdf\300274_8f35daa321fc462d9b293395e8e3cc52.pdf,success,cninfo,2026-06-05T10:41:39.967011,,
7d20a556470c4d21ecfca3f1e99c00eb,300014,亿纬锂能,sz,亿纬锂能：关于募集资金年度存放与使用情况的专项报告,其他,2025-04-18,finalpage/2025-04-18/1223125816.PDF,http://static.cninfo.com.cn/finalpage/2025-04-18/1223125816.PDF,data/pdf\300014_7d20a556470c4d21ecfca3f1e99c00eb.pdf,success,cninfo,2026-06-05T10:41:55.372616,,
5fd6f17d148a83b9a13ab0096d278163,300014,亿纬锂能,sz,亿纬锂能：关于募集资金年度存放与使用情况的专项报告,其他,2024-04-19,finalpage/2024-04-19/1219668014.PDF,http://static.cninfo.com.cn/finalpage/2024-04-19/1219668014.PDF,data/pdf\300014_5fd6f17d148a83b9a13ab0096d278163.pdf,success,cninfo,2026-06-05T10:42:12.248906,,
56c12a19ec58cb6672a4840cd455044f,300014,亿纬锂能,sz,亿纬锂能：2024年半年度募集资金存放与实际使用情况的专项报告,其他,2024-08-23,finalpage/2024-08-23/1220952733.PDF,http://static.cninfo.com.cn/finalpage/2024-08-23/1220952733.PDF,data/pdf\300014_56c12a19ec58cb6672a4840cd455044f.pdf,success,cninfo,2026-06-05T10:42:05.600739,,
4f29e72b2539510cbbf7359fc187fb1f,300014,亿纬锂能,sz,亿纬锂能：关于使用募集资金置换预先已投入募投项目自筹资金的公告,其他,2025-04-03,finalpage/2025-04-03/1223005575.PDF,http://static.cninfo.com.cn/finalpage/2025-04-03/1223005575.PDF,data/pdf\300014_4f29e72b2539510cbbf7359fc187fb1f.pdf,success,cninfo,2026-06-05T10:41:57.030794,,
9462a156c6119e988dc82182938fd3b2,300014,亿纬锂能,sz,亿纬锂能：关于调整使用闲置募集资金及自有资金进行现金管理额度和有效期的公告,其他,2025-04-03,finalpage/2025-04-03/1223005572.PDF,http://static.cninfo.com.cn/finalpage/2025-04-03/1223005572.PDF,data/pdf\300014_9462a156c6119e988dc82182938fd3b2.pdf,success,cninfo,2026-06-05T10:41:57.030794,,
ef858313e37ad5fec100528ed725e177,300014,亿纬锂能,sz,亿纬锂能：关于注销部分募集资金专项账户的公告,其他,2024-11-20,finalpage/2024-11-20/1221790638.PDF,http://static.cninfo.com.cn/finalpage/2024-11-20/1221790638.PDF,data/pdf\300014_ef858313e37ad5fec100528ed725e177.pdf,success,cninfo,2026-06-05T10:42:00.454712,,
4e048e663b243e681ebbf21310548fe4,300760,迈瑞医疗,sz,迈瑞医疗：关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告,其他,2025-04-29,finalpage/2025-04-29/1223371115.PDF,http://static.cninfo.com.cn/finalpage/2025-04-29/1223371115.PDF,data/pdf\300760_4e048e663b243e681ebbf21310548fe4.pdf,success,cninfo,2026-06-05T10:42:17.088466,,
3f95dc45437b566b79516d26d9151284,300760,迈瑞医疗,sz,迈瑞医疗：2024年度募集资金存放与实际使用情况鉴证报告,其他,2025-04-29,finalpage/2025-04-29/1223371172.PDF,http://static.cninfo.com.cn/finalpage/2025-04-29/1223371172.PDF,data/pdf\300760_3f95dc45437b566b79516d26d9151284.pdf,success,cninfo,2026-06-05T10:42:18.765003,,
b8881909c909b21849abbb54a8612a68,300760,迈瑞医疗,sz,迈瑞医疗：华泰联合证券有限责任公司关于公司2024年度募集资金存放和实际使用情况的专项核查报告,其他,2025-04-29,finalpage/2025-04-29/1223371197.PDF,http://static.cninfo.com.cn/finalpage/2025-04-29/1223371197.PDF,data/pdf\300760_b8881909c909b21849abbb54a8612a68.pdf,success,cninfo,2026-06-05T10:42:18.765003,,
77d07f174876f0a0c8133ac9f8542cb4,300760,迈瑞医疗,sz,迈瑞医疗：关于注销部分募集资金专户的公告,其他,2025-06-13,finalpage/2025-06-13/1223877379.PDF,http://static.cninfo.com.cn/finalpage/2025-06-13/1223877379.PDF,data/pdf\300760_77d07f174876f0a0c8133ac9f8542cb4.pdf,success,cninfo,2026-06-05T10:42:17.088466,,
437a586cebd1d9fc59d010da6dfcea71,603259,药明康德,sh,药明康德：2023年度募集资金存放与实际使用情况的专项报告,其他,2024-03-19,finalpage/2024-03-19/1219331370.PDF,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331370.PDF,data/pdf\603259_437a586cebd1d9fc59d010da6dfcea71.pdf,success,cninfo,2026-06-05T10:41:26.559000,,
e2a8d55e199af3109e6e54a158fc7668,603259,药明康德,sh,药明康德：无锡药明康德新药开发股份有限公司募集资金管理办法（2024年修订）,其他,2024-06-13,finalpage/2024-06-13/1220338005.PDF,http://static.cninfo.com.cn/finalpage/2024-06-13/1220338005.PDF,data/pdf\603259_e2a8d55e199af3109e6e54a158fc7668.pdf,success,cninfo,2026-06-05T10:41:21.333195,,
