doc_id,stock_code,stock_name,market,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,download_status,source,crawl_time,error_message,notes
354ff82707f209d952182ab1fce9abb3,601012,隆基绿能,sh,隆基绿能：募集资金专项管理制度,其他,2025-05-27,finalpage/2025-05-27/1223683976.PDF,http://static.cninfo.com.cn/finalpage/2025-05-27/1223683976.PDF,data/pdf\601012_354ff82707f209d952182ab1fce9abb3.pdf,success,cninfo,2026-06-05T10:40:57.606140,,
abe1925fe911604ba07ad5dbb87cfd5c,601012,隆基绿能,sh,隆基绿能：关于变更2021年可转债部分募集资金投资项目的公告,其他,2025-05-27,finalpage/2025-05-27/1223684001.PDF,http://static.cninfo.com.cn/finalpage/2025-05-27/1223684001.PDF,data/pdf\601012_abe1925fe911604ba07ad5dbb87cfd5c.pdf,success,cninfo,2026-06-05T10:40:57.606140,,
33e7959f9f6e700cd22bc6dfd485cf3c,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司变更2021年可转债部分募集资金投资项目的核查意见,其他,2025-05-27,finalpage/2025-05-27/1223683964.PDF,http://static.cninfo.com.cn/finalpage/2025-05-27/1223683964.PDF,data/pdf\601012_33e7959f9f6e700cd22bc6dfd485cf3c.pdf,success,cninfo,2026-06-05T10:40:57.606140,,
b1d5f6f1f63e521fa5d835715dc08f0c,601012,隆基绿能,sh,隆基绿能：2024年度募集资金存放与使用情况专项报告,其他,2025-04-30,finalpage/2025-04-30/1223421501.PDF,http://static.cninfo.com.cn/finalpage/2025-04-30/1223421501.PDF,data/pdf\601012_b1d5f6f1f63e521fa5d835715dc08f0c.pdf,success,cninfo,2026-06-05T10:40:59.337416,,
11c7d6dec094fbb7ad13d83f448397fd,601012,隆基绿能,sh,隆基绿能：募集资金2024年度存放与实际使用情况专项报告的鉴证报告,其他,2025-04-30,finalpage/2025-04-30/1223421485.PDF,http://static.cninfo.com.cn/finalpage/2025-04-30/1223421485.PDF,data/pdf\601012_11c7d6dec094fbb7ad13d83f448397fd.pdf,success,cninfo,2026-06-05T10:40:59.337416,,
a33733509393f20b28a913bbc94e8533,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司2024年度募集资金存放与实际使用情况的专项核查报告,其他,2025-04-30,finalpage/2025-04-30/1223421486.PDF,http://static.cninfo.com.cn/finalpage/2025-04-30/1223421486.PDF,data/pdf\601012_a33733509393f20b28a913bbc94e8533.pdf,success,cninfo,2026-06-05T10:40:59.337416,,
7d1a1166b7f9d02fb79497c56ee102a9,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司部分募集资金投资项目重新论证并延期实施的核査意见,其他,2024-12-11,finalpage/2024-12-11/1221980564.PDF,http://static.cninfo.com.cn/finalpage/2024-12-11/1221980564.PDF,data/pdf\601012_7d1a1166b7f9d02fb79497c56ee102a9.pdf,success,cninfo,2026-06-05T10:41:02.703438,,
caddeb69eabdbed765818dba1ae6aa72,601012,隆基绿能,sh,隆基绿能：关于部分募集资金投资项目重新论证并延期实施的公告,其他,2024-12-11,finalpage/2024-12-11/1221980562.PDF,http://static.cninfo.com.cn/finalpage/2024-12-11/1221980562.PDF,data/pdf\601012_caddeb69eabdbed765818dba1ae6aa72.pdf,success,cninfo,2026-06-05T10:41:02.703438,,
d306962fa5e12e3edf910dce8df137b2,601012,隆基绿能,sh,隆基绿能：中国国际金融股份有限公司关于隆基绿能科技股份有限公司2021年度可转换公司债券部分募集资金投资结项并将节余募集资金用于永久补充流动资金的核查意见,其他,2024-09-28,finalpage/2024-09-28/1221313621.PDF,http://static.cninfo.com.cn/finalpage/2024-09-28/1221313621.PDF,data/pdf\601012_d306962fa5e12e3edf910dce8df137b2.pdf,success,cninfo,2026-06-05T10:41:04.412888,,
46ca19a531abaa0d667683f918eacb60,601012,隆基绿能,sh,隆基绿能：关于2021年度可转换公司债券部分募集资金投资项目结项并将节余募集资金用于永久补充流动资金的公告,其他,2024-09-28,finalpage/2024-09-28/1221313619.PDF,http://static.cninfo.com.cn/finalpage/2024-09-28/1221313619.PDF,data/pdf\601012_46ca19a531abaa0d667683f918eacb60.pdf,success,cninfo,2026-06-05T10:41:04.412888,,
97310127b5333eedf8dbc02c5fe5bd62,601012,隆基绿能,sh,隆基绿能：2024年半年度募集资金存放与使用情况专项报告,其他,2024-08-31,finalpage/2024-08-31/1221087743.PDF,http://static.cninfo.com.cn/finalpage/2024-08-31/1221087743.PDF,data/pdf\601012_97310127b5333eedf8dbc02c5fe5bd62.pdf,success,cninfo,2026-06-05T10:41:04.412888,,
d95cf280985c3ebe05344099b50a9d50,601012,隆基绿能,sh,隆基绿能：关于2019年度可转换公司债券募集资金投资项目结项并将节余募集资金用于永久补充流动资金的公告,其他,2024-05-24,finalpage/2024-05-24/1220145053.PDF,http://static.cninfo.com.cn/finalpage/2024-05-24/1220145053.PDF,data/pdf\601012_d95cf280985c3ebe05344099b50a9d50.pdf,success,cninfo,2026-06-05T10:41:08.016660,,
6a839db6d28e73294ab27c34515af091,601012,隆基绿能,sh,隆基绿能：2023年度募集资金存放与使用情况专项报告,其他,2024-04-30,finalpage/2024-04-30/1219925311.PDF,http://static.cninfo.com.cn/finalpage/2024-04-30/1219925311.PDF,data/pdf\601012_6a839db6d28e73294ab27c34515af091.pdf,success,cninfo,2026-06-05T10:41:08.016660,,
